659,00;0,00;0,00;0,00;0,00;0,00;0,00
686,00;0.001;0,00;0,00;0,00;0,00;0,00
718,00;0.042;0.013;0.009;0.004;0,00;0,00
739,00;0.073;0.044;0.026;0.007;0,00;0,00
814,00;0.082;0.053;0.035;0.026;0.007;0,00
922,00;0.104;0.076;0.067;0.039;0.032;0.013
1005,00;0.116;0.089;0.081;0.053;0.045;0.032
1065,00;0.124;0.098;0.089;0.062;0.049;0.04
1143,00;0.135;0.117;0.109;0.082;0.073;0.055
1225,00;0.145;0.128;0.118;0.092;0.083;0.065
1321,00;0.156;0.148;0.13;0.11;0.093;0.084
1424,00;0.166;0.158;0.14;0.122;0.103;0.095
1562,00;0.177;0.169;0.15;0.132;0.114;0.105
1711,00;0.191;0.183;0.166;0.147;0.138;0.12
1870,00;0.205;0.199;0.182;0.165;0.157;0.139
1977,00;0.215;0.21;0.191;0.174;0.166;0.149
2090,00;0.225;0.22;0.202;0.183;0.176;0.168
2218,00;0.235;0.23;0.213;0.195;0.185;0.179
2367,00;0.245;0.241;0.233;0.205;0.197;0.188
2535,00;0.255;0.251;0.243;0.216;0.208;0.2
2767,00;0.265;0.26;0.253;0.226;0.218;0.21
3104,00;0.278;0.273;0.265;0.238;0.23;0.222
3534,00;0.294;0.293;0.289;0.265;0.261;0.257
4118,00;0.305;0.305;0.299;0.285;0.271;0.267
4650,00;0.323;0.32;0.316;0.299;0.286;0.282
5194,00;0.333;0.33;0.326;0.312;0.305;0.292
5880,00;0.343;0.34;0.336;0.322;0.318;0.301
6727,00;0.363;0.361;0.355;0.348;0.346;0.344
7939,00;0.373;0.371;0.369;0.358;0.356;0.354
9560,00;0.393;0.391;0.389;0.378;0.376;0.374
11282,00;0.403;0.401;0.399;0.392;0.386;0.384
18854,00;0.413;0.411;0.409;0.402;0.4;0.394
20221,00;0.423;0.421;0.419;0.412;0.41;0.404
22749,00;0.431;0.431;0.429;0.422;0.42;0.416
25276,00;0.441;0.441;0.439;0.432;0.43;0.428
25276,00;0.451;0.451;0.449;0.442;0.44;0.438
